Seconds elapsed,Metres from animatedLocation to lastReceivedLocation
81.999,250.41950813271885
82.016,248.81706250386196
82.033,247.21255114537428
82.049,245.61437861585406
82.066,244.00759998733093
82.082,242.40456661333886
82.099,240.8026651921611
82.116,239.1887815727627
82.132,237.59366727395968
82.149,235.98862867388493
82.166,234.38931238524495
82.182,233.43150690017833
82.199,233.43150690017833
82.226,233.43150690017833
82.232,233.43150690017833
82.26,233.43150690017833
82.265,233.43150690017833
82.283,233.43150690017833
82.31,233.43150690017833
82.315,233.43150690017833
82.343,233.43150690017833
82.349,233.43150690017833
82.366,233.43150690017833
82.382,233.43150690017833
82.399,233.43150690017833
82.424,233.43150690017833
82.432,233.43150690017833
82.449,233.43150690017833
82.466,233.43150690017833
82.489,233.43150690017833
82.499,233.43150690017833
82.525,233.43150690017833
82.532,233.43150690017833
82.549,233.43150690017833
82.566,233.43150690017833
82.593,233.43150690017833
82.599,233.43150690017833
82.616,233.43150690017833
82.632,233.43150690017833
82.649,233.43150690017833
82.667,233.43150690017833
82.695,233.43150690017833
82.699,233.43150690017833
82.725,233.43150690017833
82.732,233.43150690017833
82.764,233.43150690017833
82.765,233.43150690017833
82.782,233.43150690017833
82.799,233.43150690017833
82.836,233.43150690017833
82.866,233.43150690017833
82.883,233.43150690017833
82.899,233.43150690017833
82.916,233.43150690017833
82.932,233.43150690017833
82.949,233.43150690017833
82.966,233.43150690017833
82.982,233.43150690017833
82.999,233.43150690017833
83.016,233.43150690017833
83.032,233.43150690017833
83.049,233.43150690017833
83.066,233.43150690017833
83.083,233.43150690017833
83.099,233.43150690017833
83.116,233.43150690017833
83.132,233.43150690017833
83.149,233.43150690017833
83.166,233.43150690017833
83.183,233.43150690017833
83.199,233.43150690017833
83.216,233.43150690017833
83.232,233.43150690017833
83.249,233.43150690017833
